Transaction ID,Date,Transaction Type,Product Title,Product ID,SKU ID,Country of Buyer,Buyer Postal Code,Amount (Merchant Currency)
GPA.3376-9287-3167-45976,2021-06-21,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,BG,9000,1.76
GPA.3392-0604-9788-81870,2021-06-22,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,99403,4.61
GPA.3370-5484-1141-19715,2021-06-22,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,NL,2623HL,2.88
GPA.3303-3775-1340-79321,2021-06-22,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,GB,PE27 6TX,2.85
GPA.3344-5451-3564-27001,2021-06-22,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,13601,4.6
GPA.3385-9899-1664-47343,2021-06-22,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,39073,2.92
GPA.3370-6745-2825-08712,2021-06-22,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,49274,2.92
GPA.3351-8083-8841-96343,2021-06-22,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,12401,4.6
GPA.3328-8286-8896-12225,2021-06-22,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,12401,2.92
GPA.3351-3364-2762-23949,2021-06-22,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,98823,4.6
GPA.3334-8889-2997-72356,2021-06-22,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,41751,4.6
GPA.3347-5745-3334-90432,2021-06-22,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,41751,2.93
GPA.3310-2618-2128-78042,2021-06-22,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,48420,2.93
GPA.3326-4182-0541-48732,2021-06-23,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,77471,4.6
GPA.3339-2585-7701-36795,2021-06-23,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,GB,SK23 7GB,2.86
GPA.3328-1370-0195-21409,2021-06-23,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,59644,2.92
GPA.3342-6607-7646-94783,2021-06-23,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,47802,4.6
GPA.3356-2271-4041-66346,2021-06-23,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,IE,V94 FDX5,1.7
GPA.3342-8843-4284-80112,2021-06-23,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,IE,V94 FDX5,2.84
GPA.3351-5134-8483-25772,2021-06-23,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,76557,4.6
GPA.3345-7935-9165-96237,2021-06-23,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,02721,2.93
